newschannel,real,fake
100percentfedup,33,0
21stcenturywire,0,24
abcnews,0,2
abeldanger,0,82
abovetopsecret,0,53
activistpost,0,100
addictinginfo,20,0
adobochronicles,0,13
ahtribune,0,67
allnewspipeline,0,1
americannews,0,2
americasfreedomfighters,0,3
amren,0,40
amtvmedia,0,44
awdnews,0,100
barenakedislam,0,1
clickhole,0,100
coasttocoastam,0,4
corbettreport,0,28
countercurrents,0,3
counterpunch,0,3
dailywire,81,0
darkmoon,0,9
davidduke,44,1
davidstockmanscontracorner,0,7
davidwolfe,0,2
dcclothesline,0,37
defenddemocracy,0,1
dennismichaellynch,0,16
departed,0,14
der-postillon,0,72
fromthetrenchesworldreport,1,28
frontpagemag,99,1
galacticconnection,0,5
globalresearch,0,1
infowars,0,100
intrepidreport,0,1
legorafi,0,46
madworldnews,0,1
naturalnews,0,100
newstarget,1,4
politicususa,100,0
presstv,120,1
prisonplanet,1,99
projectveritas,0,1
proudemocrat,1,0
redstatewatcher,1,0
returnofkings,99,1
shiftfrequency,0,11
thedailysheeple,0,7
theeconomiccollapseblog,0,8
thefreethoughtproject,0,17
themindunleashed,0,1
theonion,0,2
thepeoplescube,0,1
therussophile,0,1
thesaker,0,3
thetruthseeker,0,1
theunrealtimes,0,1
topinfopost,0,2
veteranstoday,0,3
voltairenet,0,2
washingtonsblog,2,1
westernjournalism,98,2
whatreallyhappened,0,10
whydontyoutrythis,2,0
wnd,51,0
